ad_name,Targeting,Spend,BAR,ROAS,CTR,CVR
BeforeAfter_ClickyNumberWindowsBrand_V2_IMG_LearnMore_,Purchases,"$3,541.24",9%,1.48,0.46%,7.61%
BeforeAfter_ClickyNumberWindowsBrand_V2_IMG_LearnMore_ Total,,"$3,541.24",9%,1.48,0.46%,7.61%
Clicky_V3_Cost_HowMuchDoesXActuallyCost_IMG_Square_,Purchase Value,"$3,431.55",14%,0.92,0.89%,2.22%
Clicky_V3_Cost_HowMuchDoesXActuallyCost_IMG_Square_ Total,,"$3,431.55",14%,0.92,0.89%,2.22%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BNPLBOGOLongForm,Leads,"$3,348.38",15%,0.58,0.43%,3.23%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BNPLBOGOLongForm Total,,"$3,348.38",15%,0.58,0.43%,3.23%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV2,Leads,"$3,181.96",24%,0.99,1.73%,1.71%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV2 Total,,"$3,181.96",24%,0.99,1.73%,1.71%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:ClickyStateV1,Leads,"$3,109.73",17%,0.58,1.08%,1.56%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:ClickyStateV1 Total,,"$3,109.73",17%,0.58,1.08%,1.56%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Issue|f:RideAlong0902WoodRot,Leads,"$3,020.13",25%,0.60,1.11%,0.97%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Issue|f:RideAlong0902WoodRot Total,,"$3,020.13",25%,0.60,1.11%,0.97%
Whiteboard_ClickyStateBrand_EnergyBills_IMG_LearnMore_,Purchases,"$2,888.96",0%,1.56,1.19%,6.10%
Whiteboard_ClickyStateBrand_EnergyBills_IMG_LearnMore_ Total,,"$2,888.96",0%,1.56,1.19%,6.10%
AD6_Kendall_Quality_WindowsBrand_VID_LearnMore_,Leads,"$2,736.66",33%,0.49,0.72%,1.66%
AD6_Kendall_Quality_WindowsBrand_VID_LearnMore_ Total,,"$2,736.66",33%,0.49,0.72%,1.66%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BEAFClickyBNPLBOGO,Leads,"$2,455.00",10%,0.61,0.39%,2.91%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BEAFClickyBNPLBOGO Total,,"$2,455.00",10%,0.61,0.39%,2.91%
AD18_Georgette_Problems_WindowsBrand_VID_LearnMore_,Leads,"$2,269.82",0%,0.46,1.02%,0.97%
AD18_Georgette_Problems_WindowsBrand_VID_LearnMore_ Total,,"$2,269.82",0%,0.46,1.02%,0.97%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:B&A|f:BOGOBNPLV1,Leads,"$2,173.03",20%,0.35,0.46%,1.26%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:B&A|f:BOGOBNPLV1 Total,,"$2,173.03",20%,0.35,0.46%,1.26%
d:Ad|c:Windows|b:NonBranded|s:Internal|ty:Image|st:Clicky|f:LuxWindowsMountains,Leads,"$2,069.08",40%,0.36,0.61%,1.21%
d:Ad|c:Windows|b:NonBranded|s:Internal|ty:Image|st:Clicky|f:LuxWindowsMountains Total,,"$2,069.08",40%,0.36,0.61%,1.21%
Whiteboard_ClickyNumberWindowsBrand_V1_IMG_LearnMore_,Purchases,"$2,044.56",0%,1.25,1.00%,7.62%
Whiteboard_ClickyNumberWindowsBrand_V1_IMG_LearnMore_ Total,,"$2,044.56",0%,1.25,1.00%,7.62%
Clicky_StateBrand_EnergyBills_IMG_LearnMore_,Appts,"$1,346.80",0%,0.22,0.81%,0.16%
Clicky_StateBrand_EnergyBills_IMG_LearnMore_,Lead+Book Appt,$193.74,0%,0.00,0.55%,0.00%
