assetname,Image URL,assetid,Headline,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25520043,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"127,035",741,2,150,232,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25520053,Here's What New Windows Should Cost You in 2025,"17,097",66,0,0,19,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25520045,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"17,957",72,1,0,19,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25520044,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"39,488",173,1,150,66,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25520048,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"12,118",54,0,0,17,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25520057,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"2,526",13,1,0,2,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25520049,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"10,231",43,0,0,13,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25519197,Cut Energy Bills & Noise with These Affordable American-Made Replacement Windows,"25,039",108,0,0,37,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25519200,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"7,923",47,0,0,14,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25519194,"Buy 2 Windows, Get 2 FREE*","3,356",8,0,0,4,0
window peel compressed,https://images.mediago.io/ML/e3851d2b1fbb0f306ffb05868b3d9bed__scv1__624x350.png,25716255,Here's Why These New Windows Are Trending in ${LOCATION_CITY},"60,588",385,0,0,111,0
window carry compressed,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25716256,Here's Why These New Windows Are Trending in ${LOCATION_CITY},"259,453","1,417",0,0,539,0
beautiful windows compressed,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25716257,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,"175,249","1,097",0,0,428,0
window peel compressed,https://images.mediago.io/ML/e3851d2b1fbb0f306ffb05868b3d9bed__scv1__624x350.png,25716258,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,"627,661","3,514",8,"1,200","1,045",0
beautiful windows compressed,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25716254,Here's Why These New Windows Are Trending in ${LOCATION_CITY},"148,971",699,1,150,262,0
window carry compressed,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25716259,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,"969,456","5,298",12,"1,800","2,240",2
beautiful windows compressed,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25716236,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,"15,137",38,0,0,20,0
window carry compressed,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25716238,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,"160,766",371,0,0,254,0
