assetname,MediaType,Image URL,Video URL,Type,assetid,headline,description,CTA,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
windows_v31,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4186768074,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"5,048",8,0,$0,$15,0
windows_v27,Image,https://cdn.taboola.com/libtrc/static/thumbnails/42b7d10c31045d8a1662c96d8e681497.jpg,,STATIC_IMAGE,4186766302,Here's Why These New Windows Are Trending in ${city:capitalized}$,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"7,165",8,0,$0,$30,0
windows_v26,Image,https://cdn.taboola.com/libtrc/static/thumbnails/a1d499629efa32fa5d7138efea9f0817.jpg,,STATIC_IMAGE,4186766301,Here's Why These New Windows Are Trending in ${city:capitalized}$,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"16,201",18,0,$0,$39,0
windows_v25,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4186766300,Here's Why These New Windows Are Trending in ${city:capitalized}$,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"8,921",15,0,$0,$30,0
windows_v24,Image,https://cdn.taboola.com/libtrc/static/thumbnails/42b7d10c31045d8a1662c96d8e681497.jpg,,STATIC_IMAGE,4186766299,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"11,271",22,0,$0,$60,0
windows_v23,Image,https://cdn.taboola.com/libtrc/static/thumbnails/a1d499629efa32fa5d7138efea9f0817.jpg,,STATIC_IMAGE,4186766298,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"7,710",9,0,$0,$19,0
windows_v22,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4186766297,${city:capitalized}$: How Much Does It Cost To Replace Old Windows?,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"16,132",30,0,$0,$70,0
windows_v21,Image,https://cdn.taboola.com/libtrc/static/thumbnails/42b7d10c31045d8a1662c96d8e681497.jpg,,STATIC_IMAGE,4186766296,Here's What Windows Should Cost You in 2025,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"21,225",20,0,$0,$43,0
windows_v20,Image,https://cdn.taboola.com/libtrc/static/thumbnails/a1d499629efa32fa5d7138efea9f0817.jpg,,STATIC_IMAGE,4186766293,Here's What Windows Should Cost You in 2025,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"22,099",19,0,$0,$39,0
windows_v19,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4186766289,Here's What Windows Should Cost You in 2025,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"27,740",28,0,$0,$70,0
